index,gene_id
436,ENSMUSG00000002489
437,ENSMUSG00000002496
438,ENSMUSG00000002500
439,ENSMUSG00000002504
440,ENSMUSG00000002524
441,ENSMUSG00000002546
442,ENSMUSG00000002550
443,ENSMUSG00000002565
444,ENSMUSG00000002578
445,ENSMUSG00000002580
446,ENSMUSG00000002588
447,ENSMUSG00000002602
448,ENSMUSG00000002603
449,ENSMUSG00000002608
450,ENSMUSG00000002617
451,ENSMUSG00000002625
452,ENSMUSG00000002633
453,ENSMUSG00000002635
454,ENSMUSG00000002658
455,ENSMUSG00000002660
456,ENSMUSG00000002661
457,ENSMUSG00000002664
458,ENSMUSG00000002668
459,ENSMUSG00000002679
460,ENSMUSG00000002688
461,ENSMUSG00000002699
462,ENSMUSG00000002718
463,ENSMUSG00000002728
464,ENSMUSG00000002731
465,ENSMUSG00000002732
466,ENSMUSG00000002733
467,ENSMUSG00000002741
468,ENSMUSG00000002748
469,ENSMUSG00000002763
470,ENSMUSG00000002767
471,ENSMUSG00000002768
472,ENSMUSG00000002769
473,ENSMUSG00000002771
474,ENSMUSG00000002778
475,ENSMUSG00000002781
476,ENSMUSG00000002797
477,ENSMUSG00000002799
478,ENSMUSG00000002803
479,ENSMUSG00000002804
480,ENSMUSG00000002808
481,ENSMUSG00000002812
482,ENSMUSG00000002814
483,ENSMUSG00000002820
484,ENSMUSG00000002825
485,ENSMUSG00000002831
486,ENSMUSG00000002833
487,ENSMUSG00000002835
488,ENSMUSG00000002844
489,ENSMUSG00000002845
490,ENSMUSG00000002846
491,ENSMUSG00000002847
492,ENSMUSG00000002870
493,ENSMUSG00000002871
494,ENSMUSG00000002881
495,ENSMUSG00000002885
496,ENSMUSG00000002897
497,ENSMUSG00000002900
498,ENSMUSG00000002908
499,ENSMUSG00000002910
500,ENSMUSG00000002930
501,ENSMUSG00000002944
502,ENSMUSG00000002948
503,ENSMUSG00000002949
504,ENSMUSG00000002957
505,ENSMUSG00000002963
506,ENSMUSG00000002968
507,ENSMUSG00000002980
508,ENSMUSG00000002981
509,ENSMUSG00000002983
510,ENSMUSG00000002984
511,ENSMUSG00000002985
512,ENSMUSG00000002992
513,ENSMUSG00000002996
514,ENSMUSG00000002997
515,ENSMUSG00000003031
516,ENSMUSG00000003032
517,ENSMUSG00000003033
518,ENSMUSG00000003037
519,ENSMUSG00000003038
520,ENSMUSG00000003039
521,ENSMUSG00000003051
522,ENSMUSG00000003053
523,ENSMUSG00000003062
524,ENSMUSG00000003068
525,ENSMUSG00000003070
526,ENSMUSG00000003072
527,ENSMUSG00000003099
528,ENSMUSG00000003119
529,ENSMUSG00000003123
530,ENSMUSG00000003131
531,ENSMUSG00000003134
532,ENSMUSG00000003135
533,ENSMUSG00000003153
534,ENSMUSG00000003154
535,ENSMUSG00000003161
536,ENSMUSG00000003166
537,ENSMUSG00000003184
538,ENSMUSG00000003190
539,ENSMUSG00000003198
540,ENSMUSG00000003199
541,ENSMUSG00000003200
542,ENSMUSG00000003206
543,ENSMUSG00000003208
544,ENSMUSG00000003226
545,ENSMUSG00000003227
546,ENSMUSG00000003228
547,ENSMUSG00000003233
548,ENSMUSG00000003234
549,ENSMUSG00000003235
550,ENSMUSG00000003269
551,ENSMUSG00000003271
552,ENSMUSG00000003273
553,ENSMUSG00000003279
554,ENSMUSG00000003282
555,ENSMUSG00000003283
556,ENSMUSG00000003299
557,ENSMUSG00000003308
558,ENSMUSG00000003309
559,ENSMUSG00000003316
560,ENSMUSG00000003341
561,ENSMUSG00000003344
562,ENSMUSG00000003345
563,ENSMUSG00000003346
564,ENSMUSG00000003348
565,ENSMUSG00000003352
566,ENSMUSG00000003354
567,ENSMUSG00000003355
568,ENSMUSG00000003360
569,ENSMUSG00000003363
570,ENSMUSG00000003378
571,ENSMUSG00000003379
572,ENSMUSG00000003380
573,ENSMUSG00000003382
574,ENSMUSG00000003402
575,ENSMUSG00000003410
576,ENSMUSG00000003411
577,ENSMUSG00000003418
578,ENSMUSG00000003420
579,ENSMUSG00000003421
580,ENSMUSG00000003423
581,ENSMUSG00000003429
582,ENSMUSG00000003435
583,ENSMUSG00000003436
584,ENSMUSG00000003437
585,ENSMUSG00000003438
586,ENSMUSG00000003444
587,ENSMUSG00000003452
588,ENSMUSG00000003458
589,ENSMUSG00000003464
590,ENSMUSG00000003469
591,ENSMUSG00000003476
592,ENSMUSG00000003477
593,ENSMUSG00000003484
594,ENSMUSG00000003500
595,ENSMUSG00000003505
596,ENSMUSG00000003518
597,ENSMUSG00000003526
598,ENSMUSG00000003527
599,ENSMUSG00000003528
600,ENSMUSG00000003531
601,ENSMUSG00000003534
602,ENSMUSG00000003541
603,ENSMUSG00000003545
604,ENSMUSG00000003546
605,ENSMUSG00000003549
606,ENSMUSG00000003555
607,ENSMUSG00000003559
608,ENSMUSG00000003573
609,ENSMUSG00000003575
610,ENSMUSG00000003581
611,ENSMUSG00000003585
612,ENSMUSG00000003604
613,ENSMUSG00000003617
614,ENSMUSG00000003623
615,ENSMUSG00000003644
616,ENSMUSG00000003657
617,ENSMUSG00000003660
618,ENSMUSG00000003662
619,ENSMUSG00000003665
620,ENSMUSG00000003680
621,ENSMUSG00000003721
622,ENSMUSG00000003731
623,ENSMUSG00000003746
624,ENSMUSG00000003752
625,ENSMUSG00000003762
626,ENSMUSG00000003778
627,ENSMUSG00000003779
628,ENSMUSG00000003808
629,ENSMUSG00000003809
630,ENSMUSG00000003810
631,ENSMUSG00000003812
632,ENSMUSG00000003813
633,ENSMUSG00000003814
634,ENSMUSG00000003824
635,ENSMUSG00000003847
636,ENSMUSG00000003848
637,ENSMUSG00000003849
638,ENSMUSG00000003863
639,ENSMUSG00000003865
640,ENSMUSG00000003868
641,ENSMUSG00000003872
642,ENSMUSG00000003873
643,ENSMUSG00000003882
644,ENSMUSG00000003923
645,ENSMUSG00000003929
646,ENSMUSG00000003934
647,ENSMUSG00000003948
648,ENSMUSG00000003949
649,ENSMUSG00000003955
650,ENSMUSG00000003970
651,ENSMUSG00000003974
652,ENSMUSG00000003992
653,ENSMUSG00000004018
654,ENSMUSG00000004031
655,ENSMUSG00000004032
656,ENSMUSG00000004035
657,ENSMUSG00000004038
658,ENSMUSG00000004040
659,ENSMUSG00000004043
660,ENSMUSG00000004044
661,ENSMUSG00000004054
662,ENSMUSG00000004056
663,ENSMUSG00000004069
664,ENSMUSG00000004070
665,ENSMUSG00000004071
666,ENSMUSG00000004085
667,ENSMUSG00000004096
668,ENSMUSG00000004098
669,ENSMUSG00000004099
670,ENSMUSG00000004100
671,ENSMUSG00000004105
672,ENSMUSG00000004110
673,ENSMUSG00000004113
674,ENSMUSG00000004127
675,ENSMUSG00000004151
676,ENSMUSG00000004187
677,ENSMUSG00000004207
678,ENSMUSG00000004221
679,ENSMUSG00000004231
680,ENSMUSG00000004233
681,ENSMUSG00000004263
682,ENSMUSG00000004264
683,ENSMUSG00000004266
684,ENSMUSG00000004267
685,ENSMUSG00000004268
686,ENSMUSG00000004270
687,ENSMUSG00000004285
688,ENSMUSG00000004296
689,ENSMUSG00000004317
690,ENSMUSG00000004319
691,ENSMUSG00000004328
692,ENSMUSG00000004341
693,ENSMUSG00000004344
694,ENSMUSG00000004347
695,ENSMUSG00000004356
696,ENSMUSG00000004359
697,ENSMUSG00000004360
698,ENSMUSG00000004364
699,ENSMUSG00000004366
700,ENSMUSG00000004371
701,ENSMUSG00000004383
702,ENSMUSG00000004393
703,ENSMUSG00000004394
704,ENSMUSG00000004415
705,ENSMUSG00000004446
706,ENSMUSG00000004451
707,ENSMUSG00000004455
708,ENSMUSG00000004460
709,ENSMUSG00000004462
710,ENSMUSG00000004473
711,ENSMUSG00000004500
712,ENSMUSG00000004508
713,ENSMUSG00000004530
714,ENSMUSG00000004535
715,ENSMUSG00000004540
716,ENSMUSG00000004542
717,ENSMUSG00000004552
718,ENSMUSG00000004558
719,ENSMUSG00000004561
720,ENSMUSG00000004562
721,ENSMUSG00000004565
722,ENSMUSG00000004567
723,ENSMUSG00000004568
724,ENSMUSG00000004591
725,ENSMUSG00000004609
726,ENSMUSG00000004610
727,ENSMUSG00000004612
728,ENSMUSG00000004626
729,ENSMUSG00000004630
730,ENSMUSG00000004631
731,ENSMUSG00000004633
732,ENSMUSG00000004637
733,ENSMUSG00000004642
734,ENSMUSG00000004651
735,ENSMUSG00000004654
736,ENSMUSG00000004655
